morphospecies	ordered_vines	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
0_Vitis_riparia	x028_495622	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.99991
0_Vitis_riparia	x029_588054	0.031349	1.00E-05	1.00E-05	0.137306	1.00E-05	1.00E-05	1.10E-05	1.00E-05	0.015956	0.815329
0_Vitis_riparia	x030_588167	1.00E-05	1.00E-05	1.00E-05	0.08192	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.918
0_Vitis_riparia	x031_588190	0.000699	1.00E-05	1.00E-05	0.053628	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.041999	0.903614
0_Vitis_riparia	x032_588214	1.00E-05	1.00E-05	1.00E-05	0.103225	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.896695
0_Vitis_riparia	x033_588258	1.00E-05	1.00E-05	1.00E-05	0.181143	1.70E-05	1.00E-05	1.00E-05	1.00E-05	0.031035	0.787745
0_Vitis_riparia	x034_588259	1.00E-05	1.00E-05	1.00E-05	0.15922	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.059715	0.780995
0_Vitis_riparia	x035_588260	1.00E-05	1.00E-05	1.00E-05	0.102367	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.05673	0.840833
0_Vitis_riparia	x036_588260	1.00E-05	1.00E-05	1.00E-05	0.097067	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.032313	0.87055
0_Vitis_riparia	x037_588261	0.018931	1.00E-05	1.00E-05	0.110036	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.010057	0.860916
0_Vitis_riparia	x038_588262	1.00E-05	1.00E-05	1.00E-05	0.143234	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.00209	0.854607
0_Vitis_riparia	x039_588269	1.00E-05	1.90E-05	1.00E-05	0.999899	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.20E-05	1.00E-05
0_Vitis_riparia	x040_588269	1.00E-05	1.20E-05	1.00E-05	0.999908	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0_Vitis_riparia	x041_588271	1.00E-05	1.00E-05	1.00E-05	0.211077	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.046958	0.741895
0_Vitis_riparia	x042_588272	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0_Vitis_riparia	x043_588273	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0_Vitis_riparia	x044_588273	1.00E-05	1.00E-05	2.00E-05	0.9999	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0_Vitis_riparia	x045_588274	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0_Vitis_riparia	x046_588274	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0_Vitis_riparia	x047_588275	1.00E-05	1.60E-05	1.00E-05	0.280698	0.007218	1.00E-05	1.00E-05	1.00E-05	0.047229	0.664789
0_Vitis_riparia	x048_588276	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0_Vitis_riparia	x049_588276	1.40E-05	1.60E-05	1.00E-05	0.9999	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0_Vitis_riparia	x050_588304	1.00E-05	1.00E-05	1.00E-05	0.058206	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.039689	0.902035
0_Vitis_riparia	x051_588345	1.00E-05	1.00E-05	1.00E-05	0.064948	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.041486	0.893496
0_Vitis_riparia	x052_588346	1.00E-05	1.00E-05	1.00E-05	0.869059	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.007264	0.123606
0_Vitis_riparia	x053_588349	1.00E-05	1.00E-05	1.00E-05	0.997713	1.00E-05	1.00E-05	1.00E-05	1.00E-05	0.002207	1.00E-05
0_Vitis_riparia	x054_588350	1.00E-05	1.00E-05	1.00E-05	0.99991	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0_Vitis_riparia	x055_588353	1.20E-05	1.00E-05	1.00E-05	0.999908	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
